wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q100326685,Mohcine JAZOULI,Mohcine Jazouli,male,1967-03-10,11,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109657987,"Minister Delegate to the Head of Government in charge of Investment, Convergence and the Evaluation of Public Policies",2021-10-07,Q100326685-5189DCF1-E9B2-43FD-8213-EE019F5F44E9
Q108544123,Aouatif HAYAR,Aawatif Hayar,female,,,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109658022,"Minister of Solidarity, Social Inclusion and Family",2021-10-07,Q108544123-9BDB2077-982F-409A-BF2A-9D161B0613EF
Q108829155,Ghita MEZZOUR,Ghita Mezzour,female,1980-01-01,7,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109658002,Minister Delegate to the Head of Government in charge of Digital Transition and Administration Reform,2021-10-07,Q108829155-4B4257AC-389D-4123-B1E4-6FFC971CD74F
Q108839550,Mohamed SADIKI,Mohamed Sadiki,male,1957-01-01,9,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109657948,"Minister of Agriculture, Fisheries, Rural Development and Water and Forests",2021-10-07,Q108839550-7B72FB7E-B04B-4D53-91FA-2D3616E68E0C
Q108839644,Younes SEKKOURI,Younes Sekkouri,male,1981-01-01,9,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109657975,"Minister of Economic Inclusion, Small Business, Employment and Skills",2021-10-07,Q108839644-8AC41D48-538A-45AA-964E-554975DE48E4
Q108842763,Fatim-Zahra AMMOR,Fatim-Zahra Ammor,female,1967-01-01,9,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q109652702,"Minister of Tourism, Handicrafts and Social and Solidarity Economy",2021-10-01,Q108842763-F7367738-DEBA-4E5F-8944-B846B43F2814
Q108846334,Leila BENALI,Leila Benali,female,1978-01-01,9,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109652636,Minister of Energy Transition and Sustainable Development,2021-10-07,Q108846334-520E84C2-2D1E-426A-B90F-59F6B1F9B987
Q108847159,Mohamed ABDELJALIL,Mohamed Abdeljalil,male,1968-08-01,10,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109657992,Minister of Transport and Logistics,2021-10-07,Q108847159-46DA438B-414E-4BA8-A69E-5FC54D2BC847
Q108909080,Ryad MEZZOUR,Ryad Mezzour,male,1971-01-01,9,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q59192636,Minister of Industry and Trade,2021-10-07,Q108909080-8DE533EC-3CA2-4E7E-AC77-07AB428BA349
Q1638114,Aziz AKHANNOUCH,Aziz Akhannouch,male,1961-01-01,9,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q19842743,Head of government,2021-10-07,Q1638114-270aab3b-456e-ff39-915b-150fed0b17ce
Q19365724,Faouzi Lekjaa,Fouzi Lekjaa,male,1970-07-23,11,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109658072,"Minister Delegate to the Minister of Economy and Finance, in charge of the Budget",2021-10-07,Q19365724-7DB67C2F-95F7-4BFB-B0C0-950BEC19EBE2
Q19629182,Abdellatif MIRAOUI,Abdellatif Miraoui,male,1962-01-13,11,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109658032,"Minister of Higher Education, Scientific Research and Innovation",2021-10-07,Q19629182-7CDC9EC3-7B1D-4750-81AE-5048E19D05B4
Q26036628,Nasser BOURITA,Nasser Bourita,male,1969-05-27,11,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q24262486,"Minister of Foreign Affairs, African Cooperation and Moroccans Abroad",2017-04-05,Q26036628-ab28536b-45c7-3d82-0bdc-b23603e6f506
Q2821151,Abdellatif LOUDIYI,Abdellatif Loudiyi,male,,,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109658041,Minister Delegate to the Head of Government in charge of the administration of National Defense,2021-10-07,Q2821151-9ED39708-FCB0-4FBF-AE57-9DCCE71BD88F
Q2827677,Ahmed TOUFIQ,Ahmed Toufiq,male,1943-06-22,11,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q108325897,Minister of Endowments and Islamic Affairs,2002-11-07,Q2827677-1348576A-79A9-4968-A002-3C2331B065BB
Q30308949,Abdelouafi LAFTIT,Abdelouafi Laftit,male,1967-09-29,11,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q96093288,Minister of the Interior,2017-04-05,Q30308949-b28e09fc-4835-6077-1d1e-ca0bf05811c1
Q3067221,Fatima Ezzahra El MANSOURI,Fatima-Zahra Mansouri,female,1976-01-03,11,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q109652471,"Minister of National Planning, Urban Planning, Housing and Urban Policy",2021-10-07,Q3067221-B2C55010-7A58-44E3-AED8-A37CEA9FB044
Q360273,Chakib BENMOUSSA,Chakib Benmoussa,male,1958-02-24,11,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109658010,"Minister of National Education, Preschool and Sports",2021-10-07,Q360273-1A4A69C7-0DDB-47FD-A4FD-324E7E981425
Q562410,Nizar BARAKA,Nizar Baraka,male,1964-02-06,11,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q108326051,Minister of Equipment and Water,2021-10-07,Q562410-00180402-F32C-4970-99FC-CBE048852E27
Q60647407,Mohamed EL HAJJOUI,Mohamed El Hajjoui,male,1945-09-01,10,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q108325810,Secretary General of the Government,2017-04-05,Q60647407-A63AD220-E498-4706-91ED-710732BE73FC
Q65499406,Mohamed Mehdi BENSAID,Mohammed Mehdi Bensaid,male,1984-10-26,11,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q109657991,"Minister of Youth, Culture and Communication",2021-10-07,Q65499406-B4C1CA69-778B-433F-89E0-6CCE7448FF8B
Q73167828,khalid Ait Taleb,Khalid Ait Taleb,male,1966-01-01,9,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q88459429,Minister of Health and Social Protection,2021-10-14,Q73167828-722759f8-4f58-07d6-b70a-a321c93787e2
Q79351303,Nadia Fettah AlAOUI,Nadia Fettah Alaoui,female,1971-09-17,11,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q109652343,Minister of Economy and Finance,2021-10-07,Q79351303-21659f9b-4524-7181-4286-0940937c1f55
Q96758677,Abdellatif OUAHBI,Abdellatif Ouahbi,male,1961-07-28,11,https://www.maroc.ma/en/content/list_of_government,2021-11-20,Q30745352,Minister of Justice,2021-10-07,Q96758677-B73748B1-0B11-49CA-8EE1-436B509CF61D
Q96758942,Mustapha BAITAS,Mustapha Baitas,male,1977-01-01,9,https://www.maroc.ma/en/content/list_of_government,2021-11-21,Q108857813,"Minister Delegate to the Head of Government in charge of Relations with Parliament, Government Spokesman",2021-10-07,Q96758942-44419666-45b9-574a-15d3-fe60bab98ccf
